image_id,acute_iou,acute_ari,acute_boundary_f1,acute_boundary_iou,v9_iou,v9_ari,v9_boundary_f1,v9_boundary_iou,delta_iou_vs_v9,delta_ari_vs_v9,delta_boundary_f1_vs_v9,delta_boundary_iou_vs_v9,proposal_count_dense,dense_candidate_count,source,switched,ambiguous_flag,abstained_flag,decision_margin,decision_top1_score,decision_top2_score,top1_gain_dense,top2_gain_dense,gain_margin_dense,top1_prob_dense,top2_prob_dense,prob_margin_dense,plausible_candidate_count,support_concentration,selected_support,core_union_iou,final_union_iou,selected_dense_rank,topk_oracle_recoverable,topk_oracle_gain_iou,mask_change_core_to_final,best_pred_score,best_pred_gain,best_pred_prob,audit_case_dir
201,0.47616077832025894,0.23738833307246648,0.2993194068667548,0.15515818431911968,0.47616077832025894,0.23738833307246648,0.2993194068667548,0.15515818431911968,0.0,0.0,0.0,0.0,49,11,v9_keep,0,0,0,-0.5791917443275452,0.5791917443275452,0.48386844992637634,0.5791917443275452,0.48386844992637634,0.09532329440116882,1.4456130656981259e-06,1.4354616268974496e-06,1.015143880067626e-08,1,0.13784410059452057,0.27034443616867065,0.23390349269101401,0.23390349269101401,0,1,0.4589429957504808,0.0,0.0,0.0,1.133930717331642e-41,/home/galoren/TextureSAM-v2/reports/release_swinb_full256_audit/texturesam2_acute_learned_rescue/diagnostics/audit_cases/201
202,0.9757763674193315,0.9690856626407195,0.8507400799937058,0.6489151873767258,0.9757763674193315,0.9690856626407195,0.8507400799937058,0.6489151873767258,0.0,0.0,0.0,0.0,35,13,v9_keep,0,0,0,-0.03964080289006233,0.03964080289006233,0.0019253756618127227,0.03964080289006233,0.0019253756618127227,0.03771542722824961,0.08022556453943253,0.0795167088508606,0.0007088556885719299,1,0.08698014169931412,0.7351673245429993,0.9770655546935609,0.9770655546935609,0,1,0.0046728918618269555,0.0,0.0,0.0,0.003392136190086603,/home/galoren/TextureSAM-v2/reports/release_swinb_full256_audit/texturesam2_acute_learned_rescue/diagnostics/audit_cases/202
205,0.9397586299860444,0.8938814490575467,0.08058082474818491,0.09194745859508852,0.9397586299860444,0.8938814490575467,0.08058082474818491,0.09194745859508852,0.0,0.0,0.0,0.0,36,13,v9_keep,0,0,0,-0.5856289863586426,0.5856289863586426,0.4628147482872009,0.5856289863586426,0.4628147482872009,0.12281423807144165,0.004852138925343752,0.00024677219334989786,0.004605366731993854,1,0.10564124584197998,0.4166032671928406,0.4040186694090657,0.4040186694090657,0,1,0.012962131313088876,0.0,0.0,0.0,0.004852138925343752,/home/galoren/TextureSAM-v2/reports/release_swinb_full256_audit/texturesam2_acute_learned_rescue/diagnostics/audit_cases/205
207,0.9942928197902235,0.9891043352911328,0.9611829944547134,0.7761852260198456,0.9942928197902235,0.9891043352911328,0.9611829944547134,0.7761852260198456,0.0,0.0,0.0,0.0,49,11,v9_keep,0,0,0,-0.33754777908325195,0.33754777908325195,0.3310447037220001,0.33754777908325195,0.3310447037220001,0.006503075361251831,0.0015727716963738203,0.000177846392034553,0.0013949253043392673,2,0.12746454775333405,0.39801445603370667,0.4708824800839869,0.4708824800839869,0,0,-0.033043587498048255,0.0,0.0,0.0,0.0015727716963738203,/home/galoren/TextureSAM-v2/reports/release_swinb_full256_audit/texturesam2_acute_learned_rescue/diagnostics/audit_cases/207
210,0.9596081184974768,0.9276186953768438,0.6526924436631822,0.40786650774731825,0.9596081184974768,0.9276186953768438,0.6526924436631822,0.40786650774731825,0.0,0.0,0.0,0.0,35,11,v9_keep,0,0,0,-0.451402485370636,0.451402485370636,0.2503916025161743,0.451402485370636,0.2503916025161743,0.20101088285446167,1.8154446479456965e-07,4.831164091001483e-08,1.3323282388455482e-07,1,0.11332863569259644,0.35373982787132263,0.49596788209531095,0.49596788209531095,0,0,-0.04088197227631596,0.0,0.0,0.0,1.8154446479456965e-07,/home/galoren/TextureSAM-v2/reports/release_swinb_full256_audit/texturesam2_acute_learned_rescue/diagnostics/audit_cases/210
213,0.9930853515797557,0.9881285138292231,0.9964973730297723,0.7873563218390804,0.9930853515797557,0.9881285138292231,0.9964973730297723,0.7873563218390804,0.0,0.0,0.0,0.0,36,13,margin_keep_core,0,0,0,-0.22658149898052216,0.307017982006073,0.08087511360645294,0.307017982006073,0.08087511360645294,0.22614286839962006,0.6199888586997986,0.4845924973487854,0.13539636135101318,1,0.1156972199678421,0.4038085639476776,0.4251043318909096,0.4251043318909096,3,0,-0.0253502994709911,0.0,0.0,0.0,0.6199888586997986,/home/galoren/TextureSAM-v2/reports/release_swinb_full256_audit/texturesam2_acute_learned_rescue/diagnostics/audit_cases/213
214,0.9579820597526203,0.9253830282191597,0.5141326276807429,0.27797513321492007,0.9579820597526203,0.9253830282191597,0.5141326276807429,0.27797513321492007,0.0,0.0,0.0,0.0,50,12,margin_keep_core,0,0,0,-0.25060778856277466,0.7442808747291565,0.6257340908050537,0.7442808747291565,0.6257340908050537,0.11854678392410278,0.6684707999229431,0.6648183465003967,0.0036524534225463867,1,0.10684003680944443,0.396805077791214,0.4225497921784947,0.4225497921784947,6,1,0.005575302803837223,0.0,0.0,0.0,0.6627592444419861,/home/galoren/TextureSAM-v2/reports/release_swinb_full256_audit/texturesam2_acute_learned_rescue/diagnostics/audit_cases/214
215,0.9325850858997763,0.8897934521569465,0.2903081279851219,0.17106294071559153,0.9325850858997763,0.8897934521569465,0.2903081279851219,0.17106294071559153,0.0,0.0,0.0,0.0,37,13,margin_keep_core,0,0,0,-0.03789037466049194,0.4541522264480591,0.41626185178756714,0.4541522264480591,0.41626185178756714,0.03789037466049194,0.9759358167648315,0.9758388996124268,9.691715240478516e-05,1,0.1038174107670784,0.6791356801986694,0.3870677624437897,0.3870677624437897,2,1,0.03910807224994295,0.0,0.0,0.0,0.9714282751083374,/home/galoren/TextureSAM-v2/reports/release_swinb_full256_audit/texturesam2_acute_learned_rescue/diagnostics/audit_cases/215
216,0.7839580467652912,0.5927362371928416,0.0,0.0,0.7839580467652912,0.5927362371928416,0.0,0.0,0.0,0.0,0.0,0.0,36,11,v9_keep,0,0,0,-0.4215080440044403,0.4215080440044403,0.41924095153808594,0.4215080440044403,0.41924095153808594,0.00226709246635437,2.6641705508367863e-10,3.912451959631191e-12,2.6250460312404744e-10,2,0.12450489401817322,0.2650476098060608,0.40495316667700515,0.40495316667700515,0,1,0.006141752867734884,0.0,0.0,0.0,2.6641705508367863e-10,/home/galoren/TextureSAM-v2/reports/release_swinb_full256_audit/texturesam2_acute_learned_rescue/diagnostics/audit_cases/216
219,0.9865377635497193,0.9752512451645622,0.8860812102572628,0.6034243405830634,0.9865377635497193,0.9752512451645622,0.8860812102572628,0.6034243405830634,0.0,0.0,0.0,0.0,50,12,v9_keep,0,0,0,-0.26247096061706543,0.26247096061706543,0.12807630002498627,0.26247096061706543,0.12807630002498627,0.13439466059207916,0.1368214339017868,0.06368672102689743,0.07313471287488937,1,0.11446459591388702,0.421359121799469,0.45634070173290064,0.45634070173290064,0,0,-0.45008350320044566,0.0,0.0,0.0,5.864995941043562e-28,/home/galoren/TextureSAM-v2/reports/release_swinb_full256_audit/texturesam2_acute_learned_rescue/diagnostics/audit_cases/219
