image_id,proposal_count,single_candidate_count,single_iou,single_ari,single_index,component_candidate_count,component_iou,component_ari,component_index,topk_candidate_count,topk_iou,topk_ari,topk_index,rescue_candidate_count,rescue_iou,rescue_ari,rescue_index,rescue_idx_dense,core_iou,core_ari,final_iou,final_ari,upper_candidate_count,upper_iou,upper_ari,upper_index,gain_single_vs_core_iou,gain_component_vs_core_iou,gain_topk_vs_core_iou,gain_rescue_vs_core_iou,gain_upper_vs_final_iou,gain_upper_vs_final_ari
359,36,36,0.9433846482192487,0.8746589631500347,30,1,0.9118037966724883,0.7967157864363535,0,5,0.9479469597904326,0.8844466994411049,4,11,0.9479469597904326,0.8844466994411049,9,9,0.9336730610150912,0.8540062361912851,0.9336730610150912,0.8540062361912851,49,0.9479469597904326,0.8844466994411049,42,0.009711587204157546,-0.021869264342602834,0.014273898775341465,0.014273898775341465,0.014273898775341465,0.03044046324981975
36,35,35,0.9575871818969217,0.9598089880265178,27,1,0.7676271289897326,-0.03135618805690006,0,4,0.7284623773120431,0.7432812511518827,3,12,0.8405797101391811,0.8439263032792156,1,1,0.9582541307138598,0.9606426838387015,0.9582541307138598,0.9606426838387015,49,0.9582541307138598,0.9606426838387015,0,-0.0006669488169380733,-0.19062700172412717,-0.22979175340181668,-0.1176744205746787,0.0,0.0
362,35,35,0.921878361348161,0.8508643081300329,29,2,0.5358261098834319,0.01967654813098315,0,5,0.9368946916729898,0.8782750633795671,4,12,0.9368946916729898,0.8782750633795671,10,10,0.8656551501081613,0.7188789268208587,0.8656551501081613,0.7188789268208587,50,0.9368946916729898,0.8782750633795671,42,0.05622321123999974,-0.32982904022472936,0.07123954156482848,0.07123954156482848,0.07123954156482848,0.15939613655870832
363,36,36,0.9491297563294944,0.8744525894588079,32,1,0.6985945256931796,0.16255272401784474,0,3,0.9508822470268854,0.8786299010672545,2,11,0.9508822470268854,0.8786299010672545,9,9,0.9383732654704509,0.8490447842132451,0.9383732654704509,0.8490447842132451,49,0.9508822470268854,0.8786299010672545,40,0.01075649085904351,-0.23977873977727127,0.01250898155643454,0.01250898155643454,0.01250898155643454,0.02958511685400933
364,36,36,0.897535602459865,0.8759238876730824,30,1,0.49661375337016334,-0.05665973922512701,0,5,0.8977272727227387,0.8761606935686844,3,12,0.8977272727227387,0.8761606935686844,9,9,0.9791702642009602,0.9404573772436566,0.8977272727227387,0.8761606935686844,50,0.9791702642009602,0.9404573772436566,1,-0.08163466174109524,-0.48255651083079687,-0.08144299147822154,-0.08144299147822154,0.08144299147822154,0.06429668367497221
365,36,36,0.9190432146320358,0.8168673020040463,24,3,0.93725801902275,0.8561502129341892,0,3,0.8822775399264688,0.7393342840145094,2,10,0.8822775399264688,0.7393342840145094,8,8,0.048363860876599184,-0.014669657270846181,0.048363860876599184,-0.014669657270846181,50,0.93725801902275,0.8561502129341892,37,0.8706793537554366,0.8888941581461508,0.8339136790498697,0.8339136790498697,0.8888941581461508,0.8708198702050354
366,37,37,0.8264014466520346,0.6890193596498481,34,1,0.538494697817849,0.033277524432736724,0,5,0.8617011380171116,0.7463021586631998,4,12,0.8617011380171116,0.7463021586631998,10,10,0.8019388169710282,0.6268562179416345,0.8019388169710282,0.6268562179416345,51,0.8617011380171116,0.7463021586631998,43,0.02446262968100643,-0.2634441191531792,0.059762321046083366,0.059762321046083366,0.059762321046083366,0.11944594072156534
367,36,36,0.9545332059455806,0.8896854116656772,30,2,0.92045133991321,0.8033928934183904,0,5,0.9114707399108286,0.7918529371925402,4,13,0.9405532666251213,0.8572720488858616,0,0,0.9196728960464633,0.81008757264104,0.9196728960464633,0.81008757264104,52,0.9545332059455806,0.8896854116656772,31,0.03486030989911726,0.0007784438667467475,-0.008202156135634686,0.020880370578657992,0.03486030989911726,0.07959783902463713
371,36,36,0.9651756855360099,0.9200787470935036,30,2,0.7461088919919991,0.3621510649082829,0,4,0.9658012720233401,0.9214846810189055,3,12,0.9658012720233401,0.9214846810189055,10,10,0.961755044577502,0.9124240733328056,0.961755044577502,0.9124240733328056,51,0.9658012720233401,0.9214846810189055,42,0.0034206409585078035,-0.2156461525855029,0.0040462274458380465,0.0040462274458380465,0.0040462274458380465,0.009060607686099842
373,36,36,0.9399617338461439,0.939660654872321,26,2,0.3925173874799677,0.0879656736826639,0,5,0.9136747624015729,0.9134124095836409,4,13,0.9255375280244984,0.9252205261093059,0,0,0.8955253431831076,0.895329649796684,0.8955253431831076,0.895329649796684,52,0.9399617338461439,0.939660654872321,27,0.044436390663036285,-0.5030079557031399,0.018149419218465246,0.030012184841390788,0.044436390663036285,0.04433100507563703
374,34,34,0.844177417265297,0.6051676813490277,28,1,0.45571173119213265,0.027522562273387608,0,5,0.42360961297746985,0.006653231669200162,4,11,0.9073877695279825,0.7400034708978129,10,10,0.22621564481980797,-0.07663494092028936,0.22621564481980797,-0.07663494092028936,47,0.9073877695279825,0.7400034708978129,46,0.6179617724454891,0.2294960863723247,0.1973939681576619,0.6811721247081746,0.6811721247081746,0.8166384118181023
376,36,36,0.9686405566851268,0.9173494478611194,30,1,0.9796245054746744,0.9457830704256104,0,5,0.9508538204437329,0.8722326843978846,4,13,0.976165969027251,0.9367655540642827,12,12,0.8828185769806323,0.846924324893578,0.8828185769806323,0.846924324893578,51,0.9796245054746744,0.9457830704256104,37,0.08582197970449457,0.09680592849404213,0.06803524346310064,0.09334739204661868,0.09680592849404213,0.09885874553203233
377,29,29,0.3800192459091359,0.12261952601309378,23,1,0.1539381214820694,0.011613666454873075,0,4,0.15180940716720084,0.011099440269993297,3,11,0.6302744000214905,0.375686834403279,10,10,0.5257758952629561,0.0015844685728217825,0.5257758952629561,0.0015844685728217825,42,0.6302744000214905,0.375686834403279,41,-0.1457566493538202,-0.37183777378088667,-0.3739664880957553,0.1044985047585344,0.1044985047585344,0.3741023658304572
378,35,35,0.9399320682253933,0.7828044351969835,29,2,0.961669912901103,0.8539301131760819,0,5,0.9548376402096866,0.8312235897262472,4,12,0.9548376402096866,0.8312235897262472,10,10,0.8405179615635712,0.8596361898491233,0.8405179615635712,0.8596361898491233,50,0.961669912901103,0.8539301131760819,36,0.09941410666182215,0.12115195133753187,0.11431967864611547,0.11431967864611547,0.12115195133753187,-0.005706076673041349
38,37,37,0.3806123951098144,0.40762063246998603,32,2,0.41028513808520367,0.3704289205885053,0,4,0.29693877550803977,0.31989171464893407,3,11,0.42005676442456835,0.44439927202203666,0,0,0.9158453507902047,0.6726317702120733,0.23570741808863466,0.25989857388281945,51,0.9158453507902047,0.6726317702120733,1,-0.5352329556803903,-0.505560212705001,-0.618906575282165,-0.49578858636563633,0.68013793270157,0.41273319632925387
380,36,36,0.9251604887121037,0.7852160820523643,30,2,0.9571301413795418,0.8727509325555005,0,5,0.9362318840560326,0.814835369980142,4,13,0.9511617368358096,0.8548541784191255,12,12,0.9442948850674171,0.8369421220738964,0.9442948850674171,0.8369421220738964,52,0.9571301413795418,0.8727509325555005,37,-0.019134396355313443,0.012835256312124677,-0.008063001011384463,0.006866851768392523,0.012835256312124677,0.035808810481604114
382,35,35,0.9449181242261745,0.8286456818377874,29,1,0.8060858799752295,0.2518922657223438,0,5,0.9484441611200676,0.8389276032081726,4,13,0.9484441611200676,0.8389276032081726,11,11,0.9360930714352442,0.8032980033451299,0.9360930714352442,0.8032980033451299,50,0.9484441611200676,0.8389276032081726,41,0.008825052790930266,-0.13000719146001471,0.012351089684823346,0.012351089684823346,0.012351089684823346,0.035629599863042705
383,35,35,0.9489347042586682,0.8858192692560045,29,1,0.6605569512744408,0.16201143042673655,0,4,0.9581225333060733,0.9058063277193549,1,11,0.9581225333060733,0.9058063277193549,7,7,0.9677453173016224,0.944435580888509,0.9677453173016224,0.944435580888509,48,0.9677453173016224,0.944435580888509,0,-0.018810613042954172,-0.3071883660271816,-0.009622783995549056,-0.009622783995549056,0.0,0.0
387,35,35,0.9626691646882533,0.8814306040003794,29,1,0.9673175865275816,0.8909750051913936,0,5,0.9663970998307577,0.8926595073580682,4,13,0.9663970998307577,0.8926595073580682,11,11,0.21014634146204783,0.21682724463004205,0.21014634146204783,0.21682724463004205,50,0.9673175865275816,0.8909750051913936,36,0.7525228232262055,0.7571712450655338,0.7562507583687099,0.7562507583687099,0.7571712450655338,0.6741477605613515
388,35,35,0.9676040281185455,0.9180841535790129,32,1,0.6418022604925211,0.006492154133359842,0,5,0.9659734461262696,0.9130641186777002,3,12,0.9659734461262696,0.9130641186777002,9,9,0.6536781852844873,0.5537686133678955,0.6536781852844873,0.5537686133678955,49,0.9676040281185455,0.9180841535790129,33,0.3139258428340582,-0.011875924791966197,0.3122952608417823,0.3122952608417823,0.3139258428340582,0.36431554021111734
389,35,35,0.8864824295684818,0.758215575615708,29,2,0.7603660730330087,0.45465534332349233,0,5,0.886670061916298,0.758587636853853,4,13,0.886670061916298,0.758587636853853,11,11,0.8806122175439445,0.7466212745167267,0.8806122175439445,0.7466212745167267,51,0.886670061916298,0.758587636853853,42,0.005870212024537302,-0.12024614451093574,0.006057844372353571,0.006057844372353571,0.006057844372353571,0.011966362337126335
39,50,50,0.8137941060397212,0.5218274758445096,44,1,0.6319786096247029,-0.017487665971044224,0,5,0.7261558784644379,0.648226190603146,4,11,0.7261558784644379,0.648226190603146,9,9,0.5894865312501548,0.4915636070915535,0.5894865312501548,0.4915636070915535,63,0.8137941060397212,0.5218274758445096,45,0.22430757478956642,0.04249207837454805,0.13666934721428303,0.13666934721428303,0.22430757478956642,0.030263868752956113
391,37,37,0.9125165424468028,0.9151559438597306,28,1,0.45326545587896216,-0.028841460873620235,0,5,0.9108697165872093,0.913548877981447,4,13,0.9108697165872093,0.913548877981447,11,11,0.8839821403593973,0.8876999374518564,0.8839821403593973,0.8876999374518564,52,0.9125165424468028,0.9151559438597306,29,0.02853440208740554,-0.4307166844804351,0.026887576227812016,0.026887576227812016,0.02853440208740554,0.027456006407874267
392,36,36,0.8803967327862299,0.7654047780882209,26,1,0.6663797319756111,0.2294951444356513,0,4,0.9077075559675032,0.8160941442480224,3,12,0.9325208429801629,0.8627853380452473,1,1,0.9353991596611362,0.8694312009745162,0.9353991596611362,0.8694312009745162,50,0.9353991596611362,0.8694312009745162,0,-0.05500242687490631,-0.2690194276855251,-0.027691603693632993,-0.0028783166809732696,0.0,0.0
393,36,36,0.9170487105995295,0.7987402303275585,30,3,0.9534911270619719,0.8832632990786676,0,3,0.8792321283585329,0.7147683307816999,2,11,0.9018432739580206,0.7643958542083509,0,0,0.9695954435004205,0.9558985109544612,0.8792321283585329,0.7147683307816999,51,0.9695954435004205,0.9558985109544612,1,-0.05254673290089096,-0.016104316438448563,-0.09036331514188756,-0.06775216954239993,0.09036331514188756,0.24113018017276133
394,36,36,0.9785460759800748,0.9507911684577872,30,1,0.9753784424559668,0.943118205982439,0,5,0.7403876540589371,0.4885538442336209,4,13,0.9757873039868088,0.9441279765440066,12,12,0.9630253871248209,0.9161127939782076,0.9630253871248209,0.9161127939782076,51,0.9785460759800748,0.9507911684577872,31,0.015520688855253928,0.012353055331145946,-0.22263773306588375,0.01276191686198791,0.015520688855253928,0.034678374479579666
395,36,36,0.9695345764181238,0.9252540420545465,30,1,0.9750146828480447,0.9384780015149013,0,4,0.5742816584253407,0.2162656792979213,3,12,0.9740370968507462,0.9361092250882929,11,11,0.9754008967121404,0.9630213739797009,0.9754008967121404,0.9630213739797009,50,0.9754008967121404,0.9630213739797009,0,-0.005866320294016569,-0.0003862138640956525,-0.40111923828679963,-0.0013637998613941216,0.0,0.0
397,34,34,0.3233595692642499,-0.06786070122840893,28,1,0.9152298555292426,0.7566925654257867,0,5,0.3012474055192017,-0.07588854165978812,4,10,0.903495612500969,0.7263989265113894,9,9,0.4477918661752784,0.00613474341928627,0.4477918661752784,0.00613474341928627,46,0.9152298555292426,0.7566925654257867,35,-0.12443229691102847,0.46743798935396424,-0.14654446065607668,0.4557037463256906,0.46743798935396424,0.7505578220065003
398,36,36,0.7878968119081166,0.28778892912642834,30,1,0.7997436523425296,-0.01539180643966243,0,4,0.7457953226061605,0.17171537653242758,3,10,0.7762287947950463,-0.04073555691665163,9,9,0.44796525655100555,0.4894795467027272,0.44796525655100555,0.4894795467027272,48,0.7997436523425296,-0.01539180643966243,37,0.339931555357111,0.3517783957915241,0.297830066055155,0.3282635382440407,0.3517783957915241,-0.5048713531423896
399,36,36,0.6072075782512059,0.49216601389313586,24,1,0.4685226009081946,0.0070478680261480894,0,5,0.6110493598426946,0.4962362002974937,2,12,0.6110493598426946,0.4962362002974937,8,8,0.10292304344647633,-0.036452938685413924,0.6072075782512059,0.49216601389313586,49,0.6110493598426946,0.4962362002974937,39,0.5042845348047296,0.36559955746171824,0.5081263163962183,0.5081263163962183,0.0038417815914887354,0.004070186404357856
4,36,36,0.9713581767710859,0.9738144236298768,24,1,0.4765513618951131,0.3208098177563475,0,5,0.72336580766245,0.7478866799517921,4,13,0.9634928079974711,0.9669129528068877,0,0,0.963055729485261,0.9665406999834419,0.963055729485261,0.9665406999834419,51,0.9713581767710859,0.9738144236298768,25,0.008302447285824965,-0.48650436759014787,-0.23968992182281101,0.0004370785122100873,0.008302447285824965,0.00727372364643486
40,51,51,0.8055594162556945,0.8116984080831537,45,2,0.46476217084422444,0.2779507738450689,0,5,0.7562328815172678,0.7655197797436367,4,13,0.7971572608822493,0.8044434966469058,0,0,0.8184534148487567,0.8241150416815923,0.8184534148487567,0.8241150416815923,67,0.8184534148487567,0.8241150416815923,0,-0.012893998593062173,-0.3536912440045322,-0.062220533331488914,-0.021296153966507414,0.0,0.0
400,36,36,0.9335096203996607,0.8867050161675134,31,1,0.5533527964163163,-0.0028404837883251135,0,5,0.7783655854072867,0.6485523506501776,4,12,0.7783655854072867,0.6485523506501776,10,10,0.9227054818282404,0.8687352890223785,0.9227054818282404,0.8687352890223785,50,0.9335096203996607,0.8867050161675134,32,0.010804138571420263,-0.3693526854119241,-0.14433989642095368,-0.14433989642095368,0.010804138571420263,0.017969727145134895
403,49,49,0.9635939578342895,0.8572719896603631,43,1,0.9819416379935887,0.9262833752968778,0,5,0.9029260649329466,0.6606193406490695,4,11,0.9761072261054485,0.9037554562219307,10,10,0.974016332581904,0.9785111594378201,0.974016332581904,0.9785111594378201,62,0.9819416379935887,0.9262833752968778,50,-0.010422374747614538,0.00792530541168468,-0.07109026764895743,0.0020908935235445236,0.00792530541168468,-0.05222778414094231
408,34,34,0.31566020937489436,0.10219622896325993,28,2,0.18090421827156555,0.030416569445250473,1,4,0.14439834024851883,0.02259753208257529,3,10,0.45875542691640436,0.09932731053661592,9,9,0.29126571771054427,0.08786459183672338,0.29126571771054427,0.08786459183672338,47,0.45875542691640436,0.09932731053661592,46,0.024394491664350093,-0.11036149943897872,-0.14686737746202544,0.1674897092058601,0.1674897092058601,0.011462718699892543
41,36,36,0.8117480088103463,0.527611220778376,31,1,0.6920422114543505,0.11854102428760535,0,5,0.8166983724353906,0.5368797882513485,0,10,0.8166983724353906,0.5368797882513485,4,4,0.7822438444035983,0.4698537488452009,0.7822438444035983,0.4698537488452009,48,0.8166983724353906,0.5368797882513485,38,0.029504164406747968,-0.09020163294924777,0.034454528031792275,0.034454528031792275,0.034454528031792275,0.0670260394061476
410,35,35,0.9766810758862231,0.9413622608377327,24,1,0.9843330134333389,0.9603542229536153,0,4,0.9697428139159768,0.9242732209561639,3,11,0.984447751161656,0.9606557862786287,10,10,0.9727905859726879,0.9317627660087859,0.9727905859726879,0.9317627660087859,48,0.984447751161656,0.9606557862786287,47,0.0038904899135352444,0.011542427460651039,-0.003047772056711029,0.011657165188968088,0.011657165188968088,0.02889302026984275
411,35,35,0.9491395793453674,0.934787491873843,0,1,0.5094772591666904,-0.058161158915249554,0,5,0.9279835390902096,0.9082433357801901,4,13,0.9279835390902096,0.9082433357801901,11,11,0.9489786177885214,0.9344985587885386,0.9489786177885214,0.9344985587885386,50,0.9491395793453674,0.934787491873843,1,0.00016096155684597324,-0.43950135862183104,-0.020995078698311853,-0.020995078698311853,0.00016096155684597324,0.0002889330853044214
