image_id,in_common182,proposal_count,single_candidate_count,component_candidate_count,topk_candidate_count,upper_candidate_count,final_iou,final_ari,single_iou,single_ari,component_iou,component_ari,topk_iou,topk_ari,upper_iou,upper_ari
29,True,2,2,1,1,5,0.9426645930436218,0.9547719786972961,0.9369088452246449,0.9502447057585389,0.1446229913471217,-0.00017739271461964255,0.14221678891583253,0.01374827264660208,0.9426645930436218,0.9547719786972961
30,True,2,2,2,1,5,0.8383600376904057,0.8763862119167186,0.8204733727713552,0.8624113136169655,0.8383600376904057,0.8763862119167186,0.15637470409163257,-0.036717216412229685,0.8383600376904057,0.8763862119167186
31,True,2,2,2,1,5,0.9549988791697209,0.949159037968638,0.9521246776491079,0.9459508137363414,0.9549988791697209,0.949159037968638,0.2678807738353584,0.001754647759726123,0.9549988791697209,0.949159037968638
32,True,2,2,2,1,5,0.8386058117939418,0.8554405448877983,0.8353462157742725,0.85251652432767,0.8386058117939418,0.8554405448877983,0.1650448508666439,0.11377523574648166,0.8386058117939418,0.8554405448877983
33,False,0,0,0,0,1,0.0503046515080227,-0.0044651854363823166,0.0,0.0,0.0,0.0,0.0,0.0,0.0503046515080227,-0.0044651854363823166
34,True,2,2,1,1,5,0.8849918433828362,0.9125297301914341,0.8781512604939524,0.9072604646459292,0.12875135821720957,-0.00491665074841391,0.12372674843615672,0.024049335090378474,0.8849918433828362,0.9125297301914341
35,True,3,3,1,2,7,0.9204175180818445,0.9096120607527791,0.9200309272606172,0.9091788868904466,0.2726185855131238,0.005261264899395813,0.26886784844384587,0.003312103960197125,0.9204175180818445,0.9096120607527791
36,True,2,2,1,1,5,0.46694610777883894,0.5548420251166791,0.9221198707869108,0.9417573048992723,0.12696498885851018,-0.0003645665128543218,0.12345853337079378,0.02720571828955826,0.9221198707869108,0.9417573048992723
37,True,2,2,1,1,5,0.9389451412885153,0.9578696629015325,0.9366303690118477,0.9562559611680266,0.10012319063735738,-0.014890222776961653,0.09801510350139839,0.009674595688078106,0.9389451412885153,0.9578696629015325
38,False,0,0,0,0,1,0.005298293949292166,-0.028745095251128363,0.0,0.0,0.0,0.0,0.0,0.0,0.005298293949292166,-0.028745095251128363
39,True,2,2,2,1,5,0.8895235375273001,0.8600237095968927,0.874684568866949,0.8418697209873703,0.8895235375273001,0.8600237095968927,0.2955129813114645,0.04191168932306583,0.8895235375273001,0.8600237095968927
40,True,1,1,1,0,2,0.00033876158443550523,0.06641008513804879,0.00010096420818794244,0.04364343290023531,0.00033876158443550523,0.06641008513804879,0.0,0.0,0.00033876158443550523,0.06641008513804879
41,True,2,2,1,1,5,0.8915824915224523,0.9390151252476359,0.885290148388307,0.9352918258331283,0.023089663235113352,-0.03002692493317825,0.02191641182463267,-0.004545057209422225,0.8915824915224523,0.9390151252476359
42,True,2,2,1,1,5,7.541762509870124e-05,-0.07194050611237561,0.8861175825560351,0.9179771979948862,0.24615271874451797,0.12171094394702285,0.24563202673865986,0.13081016845135834,0.8861175825560351,0.9179771979948862
43,True,2,2,1,1,5,0.34292525114348843,0.4540236538804568,0.8646488692252228,0.9075928356949532,0.08790588378892837,0.0,0.08082608901427697,0.08508290175063636,0.8646488692252228,0.9075928356949532
44,True,2,2,2,1,5,0.9221320712089008,0.9404420145035143,0.9181879648307618,0.9373828090331597,0.9221320712089008,0.9404420145035143,0.12888923703567462,0.04779460884260902,0.9221320712089008,0.9404420145035143
45,True,2,2,1,1,5,0.43401109056499054,0.5535542386828743,0.9050552636183176,0.9369454970472307,0.08699500642970256,-0.0504254917804481,0.1083107595620147,-0.05044901910225739,0.9050552636183176,0.9369454970472307
46,True,2,2,1,1,5,0.9448474065834837,0.9608124837444927,0.9418620594962037,0.9586886597210982,0.10899490278651376,-0.00026750974726111223,0.10863799962096887,-0.0012584012681552288,0.9448474065834837,0.9608124837444927
47,True,2,2,1,1,5,0.9445447087621897,0.9626682895933054,0.9372226787027572,0.9576722493012467,0.10880034631390342,-0.08811206281265758,0.11647274954048485,-0.06309374795629027,0.9445447087621897,0.9626682895933054
48,True,2,2,1,1,5,0.9242296918638063,0.9463005358830028,0.9212443946059243,0.9441546182111681,0.1083418739710731,-0.011158195433268953,0.10680034170934254,0.001192644944204735,0.9242296918638063,0.9463005358830028
49,True,2,2,2,1,5,0.0,-0.015595449200592124,0.957594235019989,0.9700805583578789,0.9581028760929466,0.9704215264949949,0.2076072587423158,0.03800845002468773,0.9581028760929466,0.9704215264949949
50,True,1,1,1,0,2,0.0007852128712081517,0.6610492884237094,0.00040719265098637176,0.4545739929610326,0.0007852128712081517,0.6610492884237094,0.0,0.0,0.0007852128712081517,0.6610492884237094
51,True,2,2,2,1,5,0.9342058298520617,0.9508109119709012,0.9322941456338374,0.949365800237082,0.9342058298520617,0.9508109119709012,0.12333651304967655,0.040954800097804445,0.9342058298520617,0.9508109119709012
52,True,2,2,2,1,5,0.9362696029206495,0.9571911198847101,0.9305277220953486,0.9532709139782674,0.9362696029206495,0.9571911198847101,0.08808053437505817,0.03323203170473331,0.9362696029206495,0.9571911198847101
53,True,3,3,1,2,7,0.00429597807568749,0.03566335923004454,0.004959137717265999,0.018312364660329317,0.007349694025601934,0.8413499892331036,0.005127126868077364,0.762103005451119,0.007349694025601934,0.8413499892331036
54,True,2,2,1,1,5,0.8912053258428311,0.9268474784001092,0.8916534321353158,0.9272865863829227,0.08747060254628583,-0.050961952357496725,0.09218465750447201,-0.05260398745200009,0.8916534321353158,0.9272865863829227
55,True,1,1,1,0,2,0.8619519094644703,0.9009386561700363,0.8392123530126192,0.88399509721446,0.8619519094644703,0.9009386561700363,0.0,0.0,0.8619519094644703,0.9009386561700363
56,True,2,2,2,1,5,0.9040500608221094,0.9356176901121374,0.903624956415064,0.9353667387232639,0.9040500608221094,0.9356176901121374,0.08207699926100505,0.05406090397776818,0.9040500608221094,0.9356176901121374
57,True,3,3,1,2,7,0.9602286450289008,0.9645441004060705,0.9594997982980273,0.9639354433451646,0.18874378109423393,-0.022913023531590547,0.1940067208244527,-0.050663452686217005,0.9602286450289008,0.9645441004060705
58,True,1,1,1,0,2,9.614768284068945e-05,0.6246845734341508,6.627783669130057e-05,0.482319229873021,9.614768284068945e-05,0.6246845734341508,0.0,0.0,9.614768284068945e-05,0.6246845734341508
59,True,1,1,1,0,2,0.04658743215601933,0.7457204393723438,0.020511929763583014,0.7633028654940076,0.04658743215601933,0.7457204393723438,0.0,0.0,0.04658743215601933,0.7457204393723438
60,True,2,2,1,1,5,0.8226573426515897,0.8288640911260908,0.8244055943998293,0.8305444825503577,0.21453734328095603,0.014450668741541089,0.18916640152690237,0.10508941511019079,0.8244055943998293,0.8305444825503577
