image_id,in_common182,proposal_count,selected_index,selected_score,direct_iou,direct_ari
141,True,1,0,0.7109858989715576,0.0050729839674441895,0.068904202993762
142,False,0,-1,-inf,0.0,0.0
143,True,2,1,0.924980103969574,0.9694410489946722,0.9766787042932488
144,True,3,0,0.8975892663002014,0.9006234889820509,0.9269549137578171
145,True,2,1,0.8443672060966492,0.9623782331152033,0.9574119186028497
146,False,0,-1,-inf,0.0,0.0
147,True,1,0,0.4647012948989868,0.006534406682598716,0.5141883658267808
148,True,2,1,0.8086273074150085,0.8920400632483706,0.9147841517304274
149,False,0,-1,-inf,0.0,0.0
150,False,0,-1,-inf,0.0,0.0
151,True,2,1,0.8942098617553711,0.9180304839438221,0.9208901620148671
152,True,2,1,0.8139570355415344,0.905066232850278,0.9280095397575264
153,True,3,1,0.9094712138175964,0.921564195287957,0.9400681282761086
154,True,2,0,0.675530195236206,1.579105278946454e-05,0.6641215968639842
155,True,1,0,0.8476210832595825,0.8806357939648383,0.9165998207691989
156,True,4,2,0.7465721368789673,0.0,-0.05986151411624659
157,True,2,1,0.8550481200218201,0.9480091664143797,0.9636185914455583
158,False,0,-1,-inf,0.0,0.0
159,True,2,0,0.8277502059936523,0.9228158892745837,0.9229328665088556
160,True,2,0,0.8563218712806702,0.9122420789048077,0.8784459125521545
161,True,2,1,0.8048934936523438,0.9130109670873254,0.9357646689211067
162,True,2,1,0.7804306149482727,0.9369835984650574,0.9337238168468733
163,True,2,1,0.8450275659561157,0.9378208043600946,0.9368767677201301
164,False,0,-1,-inf,0.0,0.0
165,True,3,1,0.8164936900138855,0.8862038664258479,0.8928590248904988
166,True,2,1,0.8216901421546936,0.35440082317415544,0.2191498555137074
167,True,1,0,0.8315840363502502,0.952869741203515,0.9671558429720976
168,True,2,1,0.825078547000885,0.9183860148295722,0.9348553920996787
169,True,4,0,0.593119740486145,0.0002398196556185911,0.7922907305784493
170,True,2,1,0.860417366027832,0.9117399359792532,0.9404424014096666
171,True,1,0,0.8491760492324829,0.8283707276071673,0.8628014200866186
172,True,2,1,0.9201342463493347,0.9267867518794616,0.9403711512293405
173,True,3,1,0.8385441899299622,0.969003424022905,0.9797813527113478
174,True,2,1,0.8706943392753601,0.9173157579278931,0.9381358909795192
175,True,2,1,0.8308268189430237,0.9519708029058107,0.9666216452953601
176,True,1,0,0.8534063100814819,0.9505665062785149,0.9549991565458931
177,True,1,0,0.9088226556777954,0.9314009661685765,0.9534141318707132
178,True,1,0,0.7668909430503845,0.8566818073050838,0.8913799601412236
179,True,1,0,0.8273575901985168,0.0,-0.07520772246912258
180,True,2,1,0.8844623565673828,0.936815388713107,0.9546672137323512
181,False,0,-1,-inf,0.0,0.0
182,True,1,0,0.8411924839019775,0.9060491054069704,0.9143048581883721
183,True,2,0,0.7987095713615417,0.9450926274371886,0.920909014772035
184,True,1,0,0.860866367816925,0.8964308077533322,0.9233761747572756
185,True,2,1,0.8233069181442261,0.8878665318413764,0.9098956077514369
186,True,2,1,0.8104183077812195,0.9389865979758563,0.9091634226212943
187,False,0,-1,-inf,0.0,0.0
188,True,2,1,0.7365468740463257,0.8762466001784864,0.7802906438757944
189,False,0,-1,-inf,0.0,0.0
190,True,2,1,0.8006474375724792,0.912722605472281,0.9403618809279816
191,True,3,0,0.8204997181892395,0.0003030532616099627,0.04324583689907405
192,True,3,2,0.9070776700973511,0.0,-0.09106746563350333
193,True,2,1,0.8630533218383789,0.9534186009639442,0.9683822953492163
194,True,2,1,0.8153343200683594,0.0,0.06610736415351355
195,True,2,0,0.7629250884056091,0.934299148545758,0.9520298670473473
196,True,2,1,0.8931868672370911,0.9219541616294094,0.941805758871339
197,True,2,1,0.9063924551010132,0.9356170668154823,0.9556882098770553
198,True,2,1,0.8303868174552917,0.9553379330740015,0.9582625882568265
199,True,1,0,0.12296487390995026,0.002000444543228653,0.7349441279682865
200,True,2,1,0.8843090534210205,0.946487076793839,0.9649472697657776
